department,class_group,class_subgroup,class_subsubgroup,class_id,class_number,class_champion,champion_class_id,class_title,class_description,champion_selection,session_id,program_order,age_min,age_max,trophy
Sheep,Showmanship,,,c215,215,,c220,Senior Division Sheep Showmanship,,,sheep,1,16,20,
Sheep,Showmanship,,,c216,216,,c220,Intermediate Division Sheep Showmanship,,,sheep,2,13,15,
Sheep,Showmanship,,,c217,217,,c220,Junior Division Sheep Showmanship,,,sheep,3,9,12,
Sheep,Showmanship,,,c218,218,,c220,Young Junior Division Sheep Showmanship,,,sheep,4,6,8,
Sheep,Showmanship,,,c219,219,,c220,5-Year-Old Division Sheep Showmanship,,,sheep,5,5,5,
Sheep,Showmanship,,,c220,,TRUE,,Grand Champion Sheep Showmanship,,,sheep,6,,,
Sheep,Breeding,Black Face Meat Breed,,c225,225,,c234,"Ewe Lamb, Black Face Meat Breed",,,sheep,7,,,
Sheep,Breeding,Black Face Meat Breed,,c226,226,,c234,"Yearling Ewe, Black Face Meat Breed",,,sheep,8,,,
Sheep,Breeding,Black Face Meat Breed,,c227,227,,c236,"Ram Lamb, Black Face Meat Breed",,,sheep,9,,,
Sheep,Breeding,Any Other Meat Breed,,c228,228,,c234,"Ewe Lamb, Any Other Meat Breed",,,sheep,10,,,
Sheep,Breeding,Any Other Meat Breed,,c229,229,,c234,"Yearling Ewe, Any Other Meat Breed",,,sheep,11,,,
Sheep,Breeding,Any Other Meat Breed,,c230,230,,c236,"Ram Lamb, Any Other Meat Breed",,,sheep,12,,,
Sheep,Breeding,Wool Breed,,c231,231,,c234,"Ewe Lamb, Wool Breed",,,sheep,13,,,
Sheep,Breeding,Wool Breed,,c232,232,,c234,"Yearling Lamb, Wool Breed",,,sheep,14,,,
Sheep,Breeding,Wool Breed,,c233,233,,c236,"Ram Lamb, Wool Breed",,,sheep,15,,,
Sheep,Breeding,Grand Champion,,c234,,TRUE,,Grand Champion Ewe,,,sheep,16,,,
Sheep,Breeding,Grand Champion,,c236,,TRUE,,Grand Champion Ram,,,sheep,17,,,
Sheep,Market,,,c240,240,,c246,Single Market Ewe,,,sheep,18,,,
Sheep,Market,,,c243,243,,c246,Single Market Wether,,,sheep,19,,,
Sheep,Market,,,c246,,TRUE,,Grand Champion Market Lamb,,,sheep,20,,,